,Name,Games_Played,Minutes_Playes,Field_Goal_%,Three_Point_%,Two_Point_%,Free_Throw_%,Total_Rebound,Assist,Steal,Block,Turn_Over,Points
1563,Dean Wade,63,1212,0.431,0.366,0.571,0.769,215.0,74.0,35.0,21.0,30.0,2.0
1564,Moritz Wagner,45,722,0.454,0.341,0.529,0.816,146.0,50.0,26.0,18.0,43.0,2.0
1565,Kemba Walker,43,1369,0.42,0.36,0.486,0.899,170.0,212.0,48.0,12.0,88.0,2.0
1566,Lonnie Walker,60,1522,0.42,0.355,0.477,0.814,155.0,101.0,29.0,15.0,65.0,2.0
1567,John Wall,40,1288,0.404,0.317,0.449,0.749,129.0,275.0,42.0,31.0,141.0,2.0
1568,Brad Wanamaker,61,1053,0.385,0.188,0.463,0.891,105.0,174.0,43.0,11.0,71.0,2.0
1569,T.J. Warren,4,117,0.529,0.0,0.614,0.8,14.0,5.0,2.0,0.0,4.0,2.0
1570,P.J. Washington,64,1954,0.44,0.386,0.48,0.745,418.0,161.0,69.0,79.0,128.0,2.0
1571,Yuta Watanabe,50,723,0.439,0.4,0.478,0.828,159.0,40.0,26.0,19.0,19.0,2.0
1572,Tremont Waters,26,238,0.405,0.395,0.413,0.941,21.0,62.0,15.0,1.0,27.0,2.0
1573,Paul Watson,27,297,0.463,0.469,0.444,0.625,45.0,17.0,6.0,3.0,9.0,2.0
1574,Quinndary Weatherspoon,20,121,0.457,0.167,0.517,0.813,11.0,8.0,8.0,2.0,10.0,2.0
1575,Russell Westbrook,65,2369,0.439,0.315,0.475,0.656,750.0,763.0,89.0,23.0,312.0,2.0
1576,Coby White,69,2156,0.416,0.359,0.473,0.901,284.0,328.0,38.0,15.0,156.0,2.0
1577,Derrick White,36,1064,0.411,0.346,0.486,0.851,107.0,127.0,26.0,36.0,45.0,2.0
1578,Hassan Whiteside,36,546,0.563,0.0,0.565,0.519,215.0,20.0,9.0,46.0,40.0,2.0
1579,Greg Whittington,4,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1580,Andrew Wiggins,71,2364,0.477,0.38,0.529,0.714,347.0,167.0,67.0,70.0,126.0,2.0
1581,Grant Williams,63,1138,0.437,0.372,0.508,0.588,178.0,64.0,32.0,24.0,56.0,2.0
1582,Kenrich Williams,66,1426,0.533,0.444,0.568,0.571,273.0,152.0,55.0,17.0,76.0,2.0
1583,Lou Williams,66,1423,0.41,0.399,0.414,0.867,138.0,225.0,47.0,6.0,108.0,2.0
1584,Patrick Williams,71,1983,0.483,0.391,0.515,0.728,327.0,99.0,64.0,46.0,98.0,2.0
1585,Robert Williams,52,985,0.721,0.0,0.727,0.616,358.0,94.0,43.0,91.0,52.0,2.0
1586,Zion Williamson,61,2026,0.611,0.294,0.622,0.698,441.0,226.0,57.0,39.0,167.0,2.0
1587,D.J. Wilson,35,433,0.405,0.345,0.469,0.68,112.0,23.0,11.0,16.0,22.0,2.0
1588,Dylan Windler,31,513,0.438,0.338,0.585,0.778,107.0,33.0,19.0,12.0,32.0,2.0
1589,Justise Winslow,26,507,0.352,0.185,0.41,0.571,118.0,50.0,15.0,12.0,37.0,2.0
1590,Cassius Winston,22,98,0.424,0.471,0.375,0.833,9.0,12.0,2.0,1.0,5.0,2.0
1591,James Wiseman,39,836,0.519,0.316,0.542,0.628,226.0,26.0,11.0,36.0,60.0,2.0
1592,Christian Wood,41,1326,0.514,0.374,0.581,0.631,395.0,71.0,34.0,48.0,80.0,2.0
1593,Robert Woodard,13,45,0.4,0.167,0.5,0.375,16.0,2.0,0.0,3.0,1.0,2.0
1594,Delon Wright,63,1748,0.463,0.372,0.509,0.802,269.0,278.0,101.0,30.0,83.0,2.0
1595,Thaddeus Young,68,1652,0.559,0.267,0.58,0.628,423.0,291.0,74.0,40.0,137.0,2.0
1596,Trae Young,63,2125,0.438,0.343,0.491,0.886,245.0,594.0,53.0,12.0,261.0,2.0
1597,Cody Zeller,48,1005,0.559,0.143,0.598,0.714,328.0,86.0,27.0,17.0,51.0,2.0
1598,Ivica Zubac,72,1609,0.652,0.25,0.656,0.789,519.0,90.0,24.0,62.0,81.0,2.0
