,Name,Games_Played,Minutes_Playes,Field_Goal_%,Three_Point_%,Two_Point_%,Free_Throw_%,Total_Rebound,Assist,Steal,Block,Turn_Over,Points
1168,DeMarcus Cousins,41,713,0.426,0.348,0.488,0.728,263.0,76.0,34.0,24.0,64.0,2.0
1169,Robert Covington,70,2243,0.401,0.379,0.451,0.806,466.0,117.0,101.0,84.0,64.0,2.0
1170,Torrey Craig,50,803,0.48,0.368,0.579,0.773,197.0,49.0,28.0,26.0,25.0,2.0
1171,Jae Crowder,60,1648,0.404,0.389,0.455,0.76,282.0,127.0,48.0,27.0,55.0,2.0
1172,Jarrett Culver,34,499,0.411,0.245,0.487,0.604,104.0,24.0,17.0,9.0,28.0,2.0
1173,Seth Curry,57,1638,0.467,0.45,0.485,0.896,136.0,155.0,44.0,8.0,65.0,2.0
1174,Stephen Curry,63,2152,0.482,0.421,0.569,0.916,345.0,363.0,77.0,8.0,213.0,2.0
1175,Nate Darling,7,26,0.286,0.286,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
1176,Anthony Davis,36,1162,0.491,0.26,0.536,0.738,286.0,110.0,45.0,59.0,74.0,2.0
1177,Ed Davis,23,299,0.432,0.0,0.432,0.833,115.0,21.0,13.0,13.0,7.0,2.0
1178,Terence Davis,61,1074,0.428,0.367,0.513,0.818,154.0,83.0,44.0,14.0,63.0,2.0
1179,Gabriel Deck,10,212,0.478,0.133,0.577,0.818,40.0,24.0,8.0,0.0,6.0,2.0
1180,Dewayne Dedmon,16,210,0.708,0.2,0.75,0.741,86.0,12.0,9.0,6.0,13.0,2.0
1181,Matthew Dellavedova,13,224,0.25,0.16,0.323,1.0,24.0,58.0,4.0,1.0,6.0,2.0
1182,DeMar DeRozan,61,2056,0.495,0.257,0.515,0.88,259.0,422.0,56.0,15.0,119.0,2.0
1183,Mamadi Diakite,14,141,0.4,0.125,0.469,0.786,34.0,8.0,7.0,6.0,3.0,2.0
1184,Hamidou Diallo,52,1226,0.477,0.341,0.505,0.64,272.0,101.0,41.0,24.0,76.0,2.0
1185,Gorgui Dieng,38,552,0.521,0.429,0.591,0.866,140.0,48.0,26.0,16.0,32.0,2.0
1186,Spencer Dinwiddie,3,64,0.375,0.286,0.444,1.0,13.0,9.0,2.0,1.0,5.0,2.0
1187,Donte DiVincenzo,66,1814,0.42,0.379,0.475,0.718,380.0,203.0,72.0,15.0,91.0,2.0
1188,Luka Dončić,66,2262,0.479,0.35,0.567,0.73,527.0,567.0,64.0,36.0,281.0,2.0
1189,Luguentz Dort,52,1543,0.387,0.343,0.432,0.744,189.0,88.0,45.0,19.0,79.0,2.0
1190,Damyean Dotson,46,907,0.406,0.289,0.545,0.667,93.0,91.0,16.0,4.0,42.0,2.0
1191,Devon Dotson,11,50,0.524,0.143,0.714,0.0,5.0,7.0,4.0,0.0,0.0,2.0
1192,Sekou Doumbouya,56,869,0.379,0.226,0.485,0.703,143.0,47.0,24.0,9.0,44.0,2.0
1193,PJ Dozier,50,1088,0.417,0.315,0.49,0.636,182.0,92.0,31.0,22.0,46.0,2.0
1194,Goran Dragić,50,1337,0.432,0.373,0.479,0.828,169.0,219.0,33.0,8.0,118.0,2.0
1195,Andre Drummond,46,1242,0.493,0.0,0.5,0.6,551.0,94.0,63.0,49.0,124.0,2.0
1196,Jared Dudley,12,81,0.222,0.333,0.0,0.0,21.0,5.0,1.0,1.0,2.0,2.0
1197,Kris Dunn,4,45,0.083,0.0,0.1,0.75,6.0,2.0,2.0,2.0,3.0,2.0
1198,Kevin Durant,35,1157,0.537,0.45,0.577,0.882,247.0,195.0,25.0,45.0,120.0,2.0
1199,Anthony Edwards,72,2314,0.417,0.329,0.483,0.776,336.0,211.0,82.0,36.0,160.0,2.0
1200,Carsen Edwards,31,276,0.423,0.286,0.604,0.846,26.0,14.0,7.0,1.0,7.0,2.0
1201,CJ Elleby,30,192,0.379,0.206,0.563,0.733,32.0,10.0,6.0,3.0,5.0,2.0
1202,Henry Ellenson,2,38,0.357,0.222,0.6,0.75,12.0,5.0,0.0,0.0,0.0,2.0
1203,Wayne Ellington,46,1012,0.441,0.422,0.524,0.8,85.0,67.0,18.0,9.0,33.0,2.0
1204,Joel Embiid,51,1585,0.513,0.377,0.541,0.859,539.0,145.0,50.0,69.0,159.0,2.0
1205,James Ennis,41,986,0.473,0.433,0.504,0.805,166.0,62.0,32.0,7.0,36.0,2.0
1206,Drew Eubanks,54,755,0.566,1.0,0.562,0.726,241.0,42.0,18.0,49.0,45.0,2.0
1207,Dante Exum,6,116,0.385,0.182,0.533,0.5,17.0,13.0,4.0,2.0,7.0,2.0
1208,Tacko Fall,19,136,0.724,0.0,0.724,0.333,52.0,3.0,1.0,20.0,6.0,2.0
1209,Derrick Favors,68,1039,0.638,0.0,0.643,0.738,376.0,44.0,32.0,68.0,36.0,2.0
1210,Cristiano Felício,18,84,0.538,0.0,0.636,0.563,26.0,9.0,4.0,0.0,4.0,2.0
1211,Terrance Ferguson,13,49,0.143,0.0,0.5,0.0,1.0,2.0,1.0,0.0,4.0,2.0
1212,Bruno Fernando,33,226,0.409,0.0,0.429,0.682,78.0,10.0,4.0,3.0,21.0,2.0
1213,Yogi Ferrell,10,136,0.351,0.321,0.379,0.778,19.0,22.0,7.0,3.0,3.0,2.0
1214,Dorian Finney-Smith,60,1921,0.472,0.394,0.616,0.756,326.0,102.0,52.0,25.0,48.0,2.0
1215,Malik Fitts,3,11,0.333,0.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0
1216,Malachi Flynn,47,928,0.374,0.321,0.424,0.804,116.0,137.0,38.0,7.0,43.0,2.0
1217,Bryn Forbes,70,1354,0.473,0.452,0.511,0.77,112.0,45.0,24.0,1.0,44.0,2.0
1218,Trent Forrest,30,302,0.451,0.192,0.6,1.0,44.0,45.0,9.0,4.0,21.0,2.0
1219,Evan Fournier,42,1259,0.457,0.413,0.504,0.788,128.0,144.0,47.0,19.0,73.0,2.0
1220,De'Aaron Fox,58,2036,0.477,0.322,0.539,0.719,203.0,417.0,87.0,27.0,174.0,2.0
1221,Robert Franks,7,101,0.464,0.333,0.615,0.923,14.0,5.0,3.0,3.0,2.0,2.0
1222,Tim Frazier,5,62,0.15,0.0,0.25,0.333,8.0,16.0,2.0,1.0,4.0,2.0
1223,Markelle Fultz,8,215,0.394,0.25,0.42,0.895,25.0,43.0,8.0,2.0,18.0,2.0
1224,Wenyen Gabriel,21,241,0.4,0.406,0.393,0.647,54.0,11.0,9.0,8.0,15.0,2.0
1225,Daniel Gafford,54,791,0.684,0.0,0.684,0.667,231.0,29.0,26.0,75.0,41.0,2.0
1226,Danilo Gallinari,51,1222,0.434,0.406,0.466,0.925,211.0,76.0,30.0,10.0,43.0,2.0
1227,Langston Galloway,40,438,0.449,0.424,0.484,0.957,42.0,26.0,8.0,0.0,13.0,2.0
1228,Darius Garland,54,1790,0.451,0.395,0.479,0.848,129.0,329.0,66.0,6.0,164.0,2.0
1229,Marc Gasol,52,993,0.454,0.41,0.528,0.72,215.0,109.0,26.0,58.0,53.0,2.0
1230,Rudy Gay,63,1358,0.42,0.381,0.451,0.804,303.0,88.0,45.0,40.0,65.0,2.0
1231,Paul George,54,1821,0.467,0.411,0.51,0.868,359.0,280.0,62.0,24.0,179.0,2.0
1232,Taj Gibson,45,936,0.627,0.2,0.671,0.727,250.0,36.0,31.0,49.0,22.0,2.0
1233,Harry Giles,38,348,0.433,0.348,0.459,0.593,133.0,29.0,8.0,13.0,20.0,2.0
1234,Shai Gilgeous-Alexander,35,1180,0.508,0.418,0.547,0.808,166.0,207.0,27.0,23.0,106.0,2.0
1235,Anthony Gill,26,218,0.5,0.292,0.639,0.813,51.0,11.0,10.0,4.0,8.0,2.0
1236,Freddie Gillespie,20,392,0.524,0.0,0.524,0.697,97.0,9.0,13.0,20.0,12.0,2.0
1237,Rudy Gobert,71,2187,0.675,0.0,0.68,0.623,960.0,89.0,40.0,190.0,118.0,2.0
1238,Brandon Goodwin,47,620,0.377,0.311,0.433,0.651,69.0,95.0,17.0,0.0,36.0,2.0
