,Name,Position,Team,Salary
214,Michael Beasley, F,Los Angeles Lakers,3500000
215,Rodney Hood,SG,Portland Trail Blazers,3472887
216,Justise Winslow,PF,Miami Heat,3448926
217,Myles Turner, C,Indiana Pacers,3410284
218,Brook Lopez, C,Milwaukee Bucks,3382000
219,Trey Lyles,PF,Denver Nuggets,3364249
220,Kyle Singler, F,Oklahoma City Thunder,4996000
221,Mo Bamba, C,Orlando Magic,4865040
222,Willie Cauley-Stein, C,Sacramento Kings,4696875
223,Lauri Markkanen,PF,Chicago Bulls,4536120
224,Ed Davis, C,Brooklyn Nets,4449000
225,Wendell Carter Jr., C,Chicago Bulls,4441200
226,Alex Len, C,Atlanta Hawks,4350000
227,Luc Mbah a Moute, F,LA Clippers,4320500
228,Kris Dunn,PG,Chicago Bulls,4221000
229,Glenn Robinson III, F,Detroit Pistons,4075000
230,Stanley Johnson,SF,New Orleans Pelicans,3940402
231,Dennis Smith Jr.,PG,New York Knicks,3819960
232,J.J. Barea, G,Dallas Mavericks,3710850
233,Zach Collins,PF,Portland Trail Blazers,3628920
234,Mikal Bridges,SF,Phoenix Suns,3552960
235,Jamal Murray,PG,Denver Nuggets,3499800
236,Jodie Meeks, G,Toronto Raptors,3454500
237,Malik Monk,SG,Charlotte Hornets,3447480
238,Allonzo Trier, G,New York Knicks,3382000
239,Shai Gilgeous-Alexander,SG,LA Clippers,3375360
240,Devin Booker,SG,Phoenix Suns,3314365
241,Cameron Payne,PG,Cleveland Cavaliers,3263294
242,Kelly Oubre Jr.,SG,Phoenix Suns,3208630
243,Marquese Chriss,SF,Cleveland Cavaliers,3206160
244,Bryn Forbes,SG,San Antonio Spurs,3125000
245,Terry Rozier,SG,Boston Celtics,3050390
246,Elfrid Payton,PG,New Orleans Pelicans,3000000
247,Bam Adebayo, C,Miami Heat,2955840
248,Michael Porter Jr.,SF,Denver Nuggets,2894160
249,Thon Maker, F,Detroit Pistons,2799720
250,Cedi Osman,SF,Cleveland Cavaliers,2775000
251,Troy Brown Jr., F,Washington Wizards,2749080
252,Guerschon Yabusele, F,Boston Celtics,2667600
253,Jerian Grant, G,Orlando Magic,2639314
254,D.J. Wilson,PF,Milwaukee Bucks,2534280
255,Dario Saric,PF,Minnesota Timberwolves,2526840
256,Justin Anderson, F,Atlanta Hawks,2516048
257,Reggie Bullock,SF,Los Angeles Lakers,2500000
258,Dante Cunningham, F,San Antonio Spurs,2487000
259,Rondae Hollis-Jefferson, F,Brooklyn Nets,2470357
260,Ekpe Udoh, F,Utah Jazz,3360000
261,Luke Kennard,SG,Detroit Pistons,3275280
262,Troy Daniels, G,Phoenix Suns,3258539
263,Miles Bridges,SF,Charlotte Hornets,3206640
264,Tomas Satoransky,SG,Washington Wizards,3129187
265,Donovan Mitchell,SG,Utah Jazz,3111480
266,Jerome Robinson,SG,LA Clippers,3046200
267,Yogi Ferrell, G,Sacramento Kings,3000000
268,Jakob Poeltl, C,San Antonio Spurs,2947320
269,Justin Jackson,SF,Dallas Mavericks,2807880
270,Seth Curry,SG,Portland Trail Blazers,2795000
271,Sam Dekker, F,Washington Wizards,2760095
272,Justin Patton, C,Philadelphia 76ers,2667600
273,Domantas Sabonis,PF,Indiana Pacers,2659800
274,Delon Wright, G,Memphis Grizzlies,2536898
275,Zhaire Smith, G,Philadelphia 76ers,2526840
276,Taurean Prince,PF,Atlanta Hawks,2526840
277,Manu Ginobili, G,San Antonio Spurs,2500000
278,Bobby Portis, C,Washington Wizards,2494346
279,Donte DiVincenzo,SG,Milwaukee Bucks,2481000
280,Kendrick Perkins, C,Cleveland Cavaliers,2445085
281,Jarell Martin, F,Orlando Magic,2416222
282,Wayne Ellington,SG,Detroit Pistons,2383076
283,John Collins,PF,Atlanta Hawks,2299080
284,Larry Nance Jr.,PF,Cleveland Cavaliers,2272391
285,Brandon Jennings, G,Milwaukee Bucks,2222803
286,Darius Miller,SF,New Orleans Pelicans,2205000
287,Josh Okogie,SF,Minnesota Timberwolves,2160720
288,Terrance Ferguson,SF,Oklahoma City Thunder,2118840
289,Sean Kilpatrick, G,Chicago Bulls,2054856
290,Jarrett Allen, C,Brooklyn Nets,2034120
291,Torrey Craig,SF,Denver Nuggets,2000000
292,Ante Zizic, C,Cleveland Cavaliers,1952760
293,Aaron Holiday,PG,Indiana Pacers,1911960
294,DeAndre Liggins, G,Miami Heat,1795015
295,Malik Beasley,SG,Denver Nuggets,1773840
296,Anfernee Simons,SG,Portland Trail Blazers,1760520
297,Caleb Swanigan, F,Sacramento Kings,1740000
298,Landry Shamet,SG,LA Clippers,1703649
299,Jonah Bolden,PF,Philadelphia 76ers,1690000
300,Emeka Okafor, C,Philadelphia 76ers,2445085
301,Tyus Jones,PG,Minnesota Timberwolves,2444053
302,T.J. Leaf, F,Indiana Pacers,2407560
303,Lonnie Walker IV,SG,San Antonio Spurs,2357160
304,Denzel Valentine,SG,Chicago Bulls,2280600
305,Kevin Huerter,SG,Atlanta Hawks,2250960
306,Harry Giles III,PF,Sacramento Kings,2207040
307,Juancho Hernangomez,PF,Denver Nuggets,2166360
308,Raul Neto,PG,Utah Jazz,2150000
309,Grayson Allen,SG,Utah Jazz,2074320
310,OG Anunoby,SF,Toronto Raptors,2034120
311,Corey Brewer, F,Sacramento Kings,2000000
312,Chandler Hutchison, F,Chicago Bulls,1990520
313,Shabazz Napier, G,Brooklyn Nets,1942422
314,Tyler Lydon, F,Denver Nuggets,1874640
315,Trey Burke,PG,Dallas Mavericks,1795015
316,Moritz Wagner, C,Los Angeles Lakers,1762080
317,Nerlens Noel, C,Oklahoma City Thunder,1757429
318,Furkan Korkmaz,SG,Philadelphia 76ers,1740000
319,Caris LeVert,SG,Brooklyn Nets,1702800
320,Tony Bradley, C,Utah Jazz,1679520
321,Spencer Dinwiddie,PG,Brooklyn Nets,1656092
322,MarShon Brooks, G,Memphis Grizzlies,1656092
323,Robert Williams III, C,Boston Celtics,1654440
324,Pat Connaughton,SG,Milwaukee Bucks,1641000
325,Dzanan Musa, F,Brooklyn Nets,1632240
326,Omari Spellman, F,Atlanta Hawks,1620480
327,Rodions Kurucs,SF,Brooklyn Nets,1618320
328,T.J. McConnell,PG,Philadelphia 76ers,1600520
329,Malachi Richardson, G,Toronto Raptors,1569360
330,Pascal Siakam,PF,Toronto Raptors,1544951
331,Damian Jones, C,Golden State Warriors,1544951
332,Chinanu Onuaku, C,Portland Trail Blazers,1544951
