,Name,Position,Team,Salary
1040,Pascal Siakam,PF,Toronto Raptors,30559200
1041,Kyle Lowry,PG,Toronto Raptors,30500000
1042,Joel Embiid, C,Philadelphia 76ers,29542010
1043,Nikola Jokic, C,Denver Nuggets,29542010
1044,Karl-Anthony Towns, C,Minnesota Timberwolves,29467800
1045,CJ McCollum,SG,Portland Trail Blazers,29354152
1046,D'Angelo Russell,PG,Minnesota Timberwolves,28649250
1047,Otto Porter Jr.,SF,Orlando Magic,28489237
1048,Giannis Antetokounmpo,PF,Milwaukee Bucks,27528090
1049,Al Horford, C,Oklahoma City Thunder,27500000
1050,Brandon Ingram,SF,New Orleans Pelicans,27285000
1051,Stephen Curry,PG,Golden State Warriors,43006362
1052,Chris Paul,PG,Phoenix Suns,41358814
1053,John Wall,PG,Houston Rockets,41254920
1054,LeBron James,SF,Los Angeles Lakers,39219565
1055,Klay Thompson,SG,Golden State Warriors,35361360
1056,Kemba Walker,PG,Boston Celtics,34379100
1057,Kawhi Leonard,SF,LA Clippers,34379100
1058,Khris Middleton,SF,Milwaukee Bucks,33051724
1059,Kyrie Irving,PG,Brooklyn Nets,31742000
1060,Kevin Love,PF,Cleveland Cavaliers,31258256
1061,Ben Simmons,PG,Philadelphia 76ers,30559200
1062,Steven Adams, C,New Orleans Pelicans,29592696
1063,Andrew Wiggins,SF,Golden State Warriors,29542010
1064,Devin Booker,SG,Phoenix Suns,29467800
1065,Kristaps Porzingis, C,Dallas Mavericks,29467800
1066,Bradley Beal,SG,Washington Wizards,28751775
1067,Gordon Hayward,SF,Charlotte Hornets,28500000
1068,DeMar DeRozan,SF,San Antonio Spurs,27739975
1069,Rudy Gobert, C,Utah Jazz,27525281
1070,Jamal Murray,PG,Denver Nuggets,27285000
1071,Nikola Vucevic, C,Chicago Bulls,26000000
1072,Buddy Hield,SG,Sacramento Kings,24701834
1073,Jaylen Brown,SG,Boston Celtics,23735118
1074,Harrison Barnes,SF,Sacramento Kings,22215909
1075,Victor Oladipo,SG,Miami Heat,21000000
1076,Domantas Sabonis,PF,Indiana Pacers,19800000
1077,Zach LaVine,SG,Chicago Bulls,19500000
1078,Jerami Grant,SF,Detroit Pistons,19050000
1079,Terry Rozier,SG,Charlotte Hornets,18900000
1080,Allen Crabbe, G,Minnesota Timberwolves,18500000
1081,Goran Dragic,PG,Miami Heat,18000000
1082,Bogdan Bogdanovic,SG,Atlanta Hawks,18000000
1083,Gorgui Dieng, C,San Antonio Spurs,17287640
1084,Ricky Rubio,PG,Minnesota Timberwolves,17000000
1085,Eric Gordon,SG,Houston Rockets,16869276
1086,Caris LeVert,SG,Indiana Pacers,16203704
1087,James Johnson,PF,New Orleans Pelicans,16047100
1088,Clint Capela, C,Atlanta Hawks,16000000
1089,Danny Green,SF,Philadelphia 76ers,15365853
1090,Davis Bertans,SF,Washington Wizards,15000000
1091,Jrue Holiday,PG,Milwaukee Bucks,26231111
1092,Chandler Parsons,SF,Atlanta Hawks,25102511
1093,LaMarcus Aldridge, C,Brooklyn Nets,24000000
1094,Draymond Green,PF,Golden State Warriors,22246956
1095,Fred VanVleet,SG,Toronto Raptors,21250000
1096,Malcolm Brogdon,PG,Indiana Pacers,20700000
1097,Gary Harris,SG,Orlando Magic,19610714
1098,Danilo Gallinari,PF,Atlanta Hawks,19500000
1099,Tim Hardaway Jr.,SF,Dallas Mavericks,18975000
1100,Julius Randle,PF,New York Knicks,18900000
1101,Aaron Gordon,PF,Denver Nuggets,18136364
1102,Myles Turner, C,Indiana Pacers,18000000
1103,Bojan Bogdanovic,SF,Utah Jazz,17850000
1104,Evan Fournier,SG,Boston Celtics,17150000
1105,Eric Bledsoe,SG,New Orleans Pelicans,16875000
1106,Timofey Mozgov, C,Orlando Magic,16720000
1107,Joe Harris,SF,Brooklyn Nets,16071429
1108,Dennis Schroder,PG,Los Angeles Lakers,16000000
1109,Cody Zeller, C,Charlotte Hornets,15415730
1110,Jonas Valanciunas, C,Memphis Grizzlies,15000000
1111,Marcus Morris Sr.,SF,LA Clippers,14888721
1112,Rudy Gay,SF,San Antonio Spurs,14500000
1113,Dejounte Murray,PG,San Antonio Spurs,14286000
1114,Marcin Gortat, C,LA Clippers,13565218
1115,Patty Mills,PG,San Antonio Spurs,13535714
1116,Marcus Smart,PG,Boston Celtics,13446428
1117,Patrick Beverley,PG,LA Clippers,13333333
1118,JJ Redick,SG,Dallas Mavericks,13013700
1119,Jusuf Nurkic, C,Portland Trail Blazers,12888889
1120,Courtney Lee, G,Dallas Mavericks,12759670
1121,Cory Joseph,PG,Detroit Pistons,12600000
1122,Miles Plumlee, C,Memphis Grizzlies,12500000
1123,T.J. Warren,SF,Indiana Pacers,12500000
1124,Markelle Fultz,PG,Orlando Magic,12288697
1125,Tony Snell,SF,Atlanta Hawks,12178571
1126,Kentavious Caldwell-Pope,SG,Los Angeles Lakers,12073020
1127,Zach Randolph, F,Dallas Mavericks,11692308
1128,Spencer Dinwiddie,PG,Brooklyn Nets,11454048
1129,Omer Asik, C,Chicago Bulls,11286516
1130,Lonzo Ball,PG,New Orleans Pelicans,11003782
1131,Andre Iguodala,SF,Miami Heat,15000000
1132,Luke Babbitt, F,Miami Heat,14651700
1133,Kelly Oubre Jr.,SG,Golden State Warriors,14375000
1134,Will Barton,SF,Denver Nuggets,13723214
1135,Thaddeus Young,PF,Chicago Bulls,13545000
1136,Terrence Ross,SG,Orlando Magic,13500000
1137,Malik Beasley,SG,Minnesota Timberwolves,13425895
1138,Christian Wood, C,Houston Rockets,13015873
1139,Justise Winslow,PF,Memphis Grizzlies,13000000
1140,Trevor Ariza,SF,Miami Heat,12800000
1141,Brook Lopez, C,Milwaukee Bucks,12697674
1142,Kelly Olynyk,PF,Houston Rockets,12598243
1143,Nikola Mirotic, F,Milwaukee Bucks,12500000
1144,Tyreke Evans, G,Indiana Pacers,12400000
1145,Taurean Prince,PF,Cleveland Cavaliers,12250000
1146,Robert Covington,PF,Portland Trail Blazers,12138345
1147,Larry Nance Jr.,PF,Cleveland Cavaliers,11709091
1148,Jordan Clarkson,PG,Utah Jazz,11500000
1149,Dillon Brooks,SF,Memphis Grizzlies,11400000
1150,Dwight Powell, C,Dallas Mavericks,11080125
1151,Josh Richardson,SG,Dallas Mavericks,10865952
1152,Jeremy Lamb,SG,Indiana Pacers,10500000
1153,Zion Williamson,PF,New Orleans Pelicans,10245480
1154,Darren Collison, G,Indiana Pacers,10000000
1155,Jayson Tatum,SF,Boston Celtics,9897120
1156,Al-Farouq Aminu,PF,Chicago Bulls,9720900
1157,George Hill, G,Philadelphia 76ers,9590602
1158,Deandre Ayton, C,Phoenix Suns,9562920
1159,Meyers Leonard, C,Miami Heat,9400000
1160,Derrick Jones Jr.,SF,Portland Trail Blazers,9258000
1161,Montrezl Harrell, C,Los Angeles Lakers,9258000
1162,Tristan Thompson, C,Boston Celtics,9258000
1163,Ja Morant,PG,Memphis Grizzlies,9166800
1164,Marvin Bagley III,PF,Sacramento Kings,8963640
1165,Tyus Jones,PG,Memphis Grizzlies,8817143
1166,Royce O'Neale,PF,Utah Jazz,8500000
1167,C.J. Miles,SG,Washington Wizards,8333333
1168,RJ Barrett,SG,New York Knicks,8231760
1169,De'Aaron Fox,PG,Sacramento Kings,8099627
1170,Mason Plumlee, C,Detroit Pistons,8000000
1171,Norman Powell,SF,Portland Trail Blazers,10865952
1172,Joe Ingles,SG,Utah Jazz,10863637
1173,DeAndre Jordan, C,Brooklyn Nets,10375678
1174,Rodney Hood,SG,Toronto Raptors,10047450
1175,Tomas Satoransky,SG,Chicago Bulls,10000000
1176,Anthony Edwards,SF,Minnesota Timberwolves,9757440
1177,Dante Exum,PG,Cleveland Cavaliers,9600000
1178,De'Anthony Melton,SG,Memphis Grizzlies,9571712
1179,Kyle Anderson,SF,Memphis Grizzlies,9505100
1180,Derrick Favors, C,Utah Jazz,9258000
1181,Jae Crowder,PF,Phoenix Suns,9258000
1182,Serge Ibaka, C,LA Clippers,9258000
1183,Dario Saric,PF,Phoenix Suns,9250000
1184,Delon Wright, G,Sacramento Kings,9000000
1185,Cedi Osman,SF,Cleveland Cavaliers,8840580
1186,James Wiseman, C,Golden State Warriors,8730240
1187,Thomas Bryant, C,Washington Wizards,8333333
1188,Maxi Kleber,PF,Dallas Mavericks,8325000
1189,Jakob Poeltl, C,San Antonio Spurs,8101852
1190,Luka Doncic,PG,Dallas Mavericks,8049360
1191,P.J. Tucker,PF,Milwaukee Bucks,7969537
1192,Seth Curry,SG,Philadelphia 76ers,7834449
1193,Cristiano Felicio,PF,Chicago Bulls,7529020
1194,Darrell Arthur, F,Phoenix Suns,7464912
1195,Jonathan Isaac,PF,Orlando Magic,7362566
1196,Robin Lopez, C,Washington Wizards,7300000
1197,JaMychal Green,PF,Denver Nuggets,7199760
1198,Aron Baynes, C,Toronto Raptors,7000000
1199,Ivica Zubac, C,LA Clippers,7000000
1200,Lauri Markkanen,PF,Chicago Bulls,6731508
1201,D.J. Augustin,PG,Houston Rockets,6666667
1202,Juancho Hernangomez,PF,Minnesota Timberwolves,6493000
1203,Milos Teodosic, G,LA Clippers,6300000
1204,Wesley Johnson, F,Washington Wizards,6134520
1205,Ish Smith,PG,Washington Wizards,6000000
1206,Mo Bamba, C,Orlando Magic,5969040
1207,Justin Holiday,SF,Indiana Pacers,5720000
1208,Dennis Smith Jr.,PG,Detroit Pistons,5686677
1209,Coby White,PG,Chicago Bulls,5572680
1210,Alex Abrines, G,Oklahoma City Thunder,5455236
1211,Lou Williams,SG,Atlanta Hawks,8000000
1212,LaMelo Ball,PG,Charlotte Hornets,7839960
1213,Derrick Rose,PG,New York Knicks,7682927
1214,Rajon Rondo,PG,LA Clippers,7500000
1215,De'Andre Hunter,SF,Atlanta Hawks,7422000
1216,Doug McDermott,SF,Indiana Pacers,7333333
1217,Jaren Jackson Jr.,PF,Memphis Grizzlies,7257360
1218,Patrick Williams,PF,Chicago Bulls,7068360
1219,Darius Miller,SF,Oklahoma City Thunder,7000000
1220,Chris Boucher,PF,Toronto Raptors,6750000
1221,Darius Garland,PG,Cleveland Cavaliers,6720720
1222,Trae Young,PG,Atlanta Hawks,6571800
1223,Isaac Okoro,SF,Cleveland Cavaliers,6400920
1224,Frank Ntilikina,PG,New York Knicks,6176578
1225,Jarrett Culver,SF,Minnesota Timberwolves,6104280
1226,Alec Burks,SG,New York Knicks,6000000
1227,Onyeka Okongwu,PF,Atlanta Hawks,5813640
1228,Jonathon Simmons, G,Washington Wizards,5700000
1229,Avery Bradley,PG,Houston Rockets,5635000
1230,Trey Lyles,PF,San Antonio Spurs,5500000
1231,Wendell Carter Jr., C,Orlando Magic,5448840
1232,Malik Monk,SG,Charlotte Hornets,5345687
1233,Alexis Ajinca, C,LA Clippers,5285394
1234,Donovan Mitchell,SG,Utah Jazz,5195501
1235,Bam Adebayo, C,Miami Heat,5115492
1236,Justin Jackson,SF,Milwaukee Bucks,5029650
1237,Enes Kanter, C,Portland Trail Blazers,5005350
1238,Ed Davis, C,Minnesota Timberwolves,5005350
1239,Elfrid Payton,PG,New York Knicks,5000000
1240,Daniel Theis, C,Chicago Bulls,5000000
1241,Collin Sexton,PG,Cleveland Cavaliers,4991880
1242,Obi Toppin,PF,New York Knicks,4862040
1243,Garrett Temple,SF,Chicago Bulls,4767000
1244,Rui Hachimura,PF,Washington Wizards,4692840
1245,Kevin Knox II,SF,New York Knicks,4588680
1246,Deni Avdija,SF,Washington Wizards,4469160
1247,Cam Reddish,SF,Atlanta Hawks,4458000
1248,Jalen Smith,PF,Phoenix Suns,4245720
1249,JaVale McGee, C,Denver Nuggets,4200000
1250,Shai Gilgeous-Alexander,SG,Oklahoma City Thunder,4141320
1251,Jason Smith, F,New Orleans Pelicans,5450000
1252,Zach Collins,PF,Portland Trail Blazers,5406255
1253,Killian Hayes,PG,Detroit Pistons,5307120
1254,Luke Kennard,SG,LA Clippers,5273826
1255,Rodney McGruder,SG,Detroit Pistons,5192307
1256,Jaxson Hayes, C,New Orleans Pelicans,5105160
1257,Richaun Holmes, C,Sacramento Kings,5005350
1258,Mike Scott,PF,Philadelphia 76ers,5005350
1259,Nerlens Noel, C,New York Knicks,5000000
1260,Dirk Nowitzki, F,Dallas Mavericks,5000000
1261,Kyle Singler, F,Oklahoma City Thunder,4996000
1262,Pat Connaughton,SG,Milwaukee Bucks,4938272
1263,Josh Jackson,SG,Detroit Pistons,4767000
1264,Kris Dunn,PG,Atlanta Hawks,4767000
1265,Denzel Valentine,SG,Chicago Bulls,4642800
1266,D.J. Wilson,PF,Houston Rockets,4548280
1267,Kevon Looney, C,Golden State Warriors,4464226
1268,T.J. Leaf, F,Portland Trail Blazers,4326825
1269,Reggie Bullock,SF,New York Knicks,4200000
1270,Mikal Bridges,SF,Phoenix Suns,4161000
1271,Nicolo Melli,PF,Dallas Mavericks,4102564
1272,Devin Vassell,SG,San Antonio Spurs,4033440
1273,P.J. Washington,PF,Charlotte Hornets,4023600
1274,Dorian Finney-Smith,PF,Dallas Mavericks,4000000
1275,Miles Bridges,SF,Charlotte Hornets,3934320
1276,Jarrett Allen, C,Cleveland Cavaliers,3909902
1277,Tyrese Haliburton,PG,Sacramento Kings,3831840
1278,Jake Layman,SF,Minnesota Timberwolves,3761085
1279,Danuel House Jr.,SF,Houston Rockets,3717000
1280,Romeo Langford,SG,Boston Celtics,3631200
1281,Bobby Portis, C,Milwaukee Bucks,3623000
1282,Kyle Kuzma,SF,Los Angeles Lakers,3562178
1283,Michael Porter Jr.,SF,Denver Nuggets,3550800
1284,Derrick White,PG,San Antonio Spurs,3516284
1285,Luca Vildoza, G,New York Knicks,3500000
1286,T.J. McConnell,PG,Indiana Pacers,3500000
1287,Boban Marjanovic, C,Dallas Mavericks,3500000
1288,Aaron Nesmith,SF,Boston Celtics,3458400
1289,Michael Carter-Williams,PG,Orlando Magic,3300000
1290,Cole Anthony,PG,Orlando Magic,3285120
1291,John Collins,PF,Atlanta Hawks,4137302
1292,Willie Cauley-Stein, C,Dallas Mavericks,4100000
1293,Cameron Johnson,SF,Phoenix Suns,4033440
1294,Patrick McCaw,SF,Toronto Raptors,4000000
1295,Terrance Ferguson,SF,Philadelphia 76ers,3944013
1296,Jevon Carter,PG,Phoenix Suns,3925000
1297,OG Anunoby,SF,Toronto Raptors,3872215
1298,Stanley Johnson,SF,Toronto Raptors,3804150
1299,Jerome Robinson,SG,Washington Wizards,3737520
1300,Kira Lewis Jr.,PG,New Orleans Pelicans,3640200
1301,Maurice Harkless,SF,Sacramento Kings,3623000
1302,Wesley Matthews,SG,Los Angeles Lakers,3623000
1303,Allonzo Trier, G,New York Knicks,3551000
1304,Tony Bradley, C,Oklahoma City Thunder,3542060
1305,Bismack Biyombo, C,Charlotte Hornets,3500000
1306,Michael Beasley, F,Brooklyn Nets,3500000
1307,Austin Rivers, G,Denver Nuggets,3500000
1308,Josh Hart,SG,New Orleans Pelicans,3491159
1309,Sekou Doumbouya,SF,Detroit Pistons,3449400
1310,James Ennis III,SF,Orlando Magic,3300000
1311,Facundo Campazzo,PG,Denver Nuggets,3200000
1312,Isaiah Stewart, C,Detroit Pistons,3121080
1313,Patrick Patterson,PF,LA Clippers,3077704
1314,Khem Birch, C,Toronto Raptors,3000000
1315,Ryan Arcidiacono,PG,Chicago Bulls,3000000
1316,Goga Bitadze, C,Indiana Pacers,2957520
1317,Lonnie Walker IV,SG,San Antonio Spurs,2892000
1318,Kevin Huerter,SG,Atlanta Hawks,2761920
1319,Matisse Thybulle,SG,Philadelphia 76ers,2711280
1320,Josh Okogie,SF,Minnesota Timberwolves,2651040
1321,Vincent Poirier, C,Philadelphia 76ers,2619207
1322,Precious Achiuwa,PF,Miami Heat,2582160
1323,Marc Gasol, C,Los Angeles Lakers,2564753
1324,Grayson Allen,SG,Memphis Grizzlies,2545320
1325,Grant Williams,PF,Boston Celtics,2498760
1326,Emeka Okafor, C,Philadelphia 76ers,2445085
1327,Chandler Hutchison, F,Washington Wizards,2443440
1328,Aaron Holiday,PG,Indiana Pacers,2345640
1329,Bryn Forbes,SG,Milwaukee Bucks,2337145
1330,Zeke Nnaji,PF,Denver Nuggets,2284800
1331,Troy Brown Jr., F,Chicago Bulls,3219480
1332,Chuma Okeke,PF,Orlando Magic,3121080
1333,Nickeil Alexander-Walker,SG,New Orleans Pelicans,3113160
1334,Donte DiVincenzo,SG,Milwaukee Bucks,3044160
1335,Trey Burke,PG,Dallas Mavericks,3000000
1336,Aleksej Pokusevski,PF,Oklahoma City Thunder,2964840
1337,Luka Samanic,PF,San Antonio Spurs,2892000
1338,Josh Green,SG,Dallas Mavericks,2816760
1339,Alex Caruso,SG,Los Angeles Lakers,2750000
1340,Saddiq Bey,SF,Detroit Pistons,2689920
1341,Marko Guduric, G,Memphis Grizzlies,2625000
1342,Brandon Clarke,PF,Memphis Grizzlies,2602920
1343,Tyler Herro,PG,Miami Heat,2582160
1344,Nene Hilario, C,Atlanta Hawks,2564753
1345,Manu Ginobili, G,San Antonio Spurs,2500000
1346,Tyrese Maxey,PG,Philadelphia 76ers,2478840
1347,Kendrick Perkins, C,Cleveland Cavaliers,2445085
1348,Tyler Zeller, C,Atlanta Hawks,2436046
1349,Darius Bazley,PF,Oklahoma City Thunder,2339160
1350,Ty Jerome,SG,Oklahoma City Thunder,2303040
1351,Ben McLemore, G,Los Angeles Lakers,2283034
1352,Brad Wanamaker,PG,Charlotte Hornets,2250000
1353,Brandon Jennings, G,Milwaukee Bucks,2222803
1354,Payton Pritchard,PG,Boston Celtics,2193480
1355,Moritz Wagner, C,Orlando Magic,2161920
1356,Dylan Windler,SG,Cleveland Cavaliers,2137440
1357,John Konchar,SG,Memphis Grizzlies,2100000
1358,Jordan Poole,SG,Golden State Warriors,2063280
1359,Sean Kilpatrick, G,Chicago Bulls,2054856
1360,Robert Williams III, C,Boston Celtics,2029920
1361,Jacob Evans, G,New York Knicks,2017320
1362,Theo Maledon,PG,Oklahoma City Thunder,2000000
1363,Damyean Dotson,SG,Cleveland Cavaliers,2000000
1364,Cameron Payne,PG,Phoenix Suns,1977011
1365,Jaden McDaniels,PF,Minnesota Timberwolves,1964760
1366,Desmond Bane,SG,Memphis Grizzlies,1936440
1367,Jahlil Okafor, C,Detroit Pistons,1882867
1368,David Nwaba,SF,Houston Rockets,1824003
1369,Georges Niang,SF,Utah Jazz,1783557
1370,Furkan Korkmaz,SG,Philadelphia 76ers,1762796
1371,Mike Muscala, C,Oklahoma City Thunder,2283034
1372,Anfernee Simons,SG,Portland Trail Blazers,2252040
1373,Luke Kornet, C,Boston Celtics,2250000
1374,Nassir Little,SF,Portland Trail Blazers,2210640
1375,R.J. Hampton,PG,Orlando Magic,2193040
1376,Edmond Sumner,PG,Indiana Pacers,2160000
1377,Immanuel Quickley,SG,New York Knicks,2105520
1378,Landry Shamet,SG,Brooklyn Nets,2090040
1379,Bol Bol, C,Denver Nuggets,2058240
1380,Keldon Johnson,SF,San Antonio Spurs,2048040
1381,Bruno Caboclo, F,Houston Rockets,2028594
1382,Dzanan Musa, F,Detroit Pistons,2002800
1383,Gary Clark,SF,Philadelphia 76ers,2000000
1384,Omari Spellman, F,New York Knicks,1988280
1385,Udoka Azubuike, C,Utah Jazz,1977000
1386,Malachi Flynn,PG,Toronto Raptors,1950600
1387,Jontay Porter,PF,Memphis Grizzlies,1900000
1388,Marquese Chriss,SF,Golden State Warriors,1824003
1389,DeAndre Liggins, G,Miami Heat,1795015
1390,Rodions Kurucs,SF,Milwaukee Bucks,1780152
1391,Damion Lee,SG,Golden State Warriors,1762796
1392,Abdel Nader,SF,Phoenix Suns,1752950
1393,Mario Hezonja, F,Memphis Grizzlies,1737145
1394,Damian Jones, C,Sacramento Kings,1737145
1395,Shake Milton,SG,Philadelphia 76ers,1701593
1396,Brandon Goodwin,PG,Atlanta Hawks,1701593
1397,Dwayne Bacon,SG,Orlando Magic,1678854
1398,Wes Iwundu,SF,New Orleans Pelicans,1678854
1399,Isaac Bonga, G,Washington Wizards,1663861
1400,Keita Bates-Diop,SF,San Antonio Spurs,1663861
1401,Bruce Brown,SF,Brooklyn Nets,1663861
1402,Kendrick Nunn,SG,Miami Heat,1663861
1403,Jalen Brunson,PG,Dallas Mavericks,1663861
1404,Julyan Stone, G,Chicago Bulls,1656092
1405,Tim Frazier, G,Memphis Grizzlies,1620564
1406,Raul Neto,PG,Washington Wizards,1620564
1407,Drew Eubanks,PF,San Antonio Spurs,1620564
1408,Chimezie Metu,PF,Sacramento Kings,1620564
1409,Hassan Whiteside, C,Sacramento Kings,1620564
1410,Carmelo Anthony,PF,Portland Trail Blazers,1620564
1411,Alfonzo McKinnie,SF,Los Angeles Lakers,1762796
1412,PJ Dozier,SG,Denver Nuggets,1762796
1413,Semi Ojeleye,PF,Boston Celtics,1752950
1414,DeAndre' Bembry,SG,Toronto Raptors,1737145
1415,Kevin Porter Jr.,SG,Houston Rockets,1717981
1416,Thanasis Antetokounmpo,SF,Milwaukee Bucks,1701593
1417,Jonah Bolden,PF,Phoenix Suns,1698450
1418,Dragan Bender, F,Golden State Warriors,1678854
1419,Gary Trent Jr.,SG,Toronto Raptors,1663861
1420,Svi Mykhailiuk,SG,Oklahoma City Thunder,1663861
1421,Mitchell Robinson, C,New York Knicks,1663861
1422,Duncan Robinson,SG,Miami Heat,1663861
1423,Hamidou Diallo,SG,Detroit Pistons,1663861
1424,Jarred Vanderbilt,PF,Minnesota Timberwolves,1663361
1425,MarShon Brooks, G,Chicago Bulls,1656092
1426,Isaiah Taylor, G,Toronto Raptors,1620564
1427,Josh Gray, G,Oklahoma City Thunder,1620564
1428,Tyler Lydon, F,Sacramento Kings,1620564
1429,Glenn Robinson III, F,Sacramento Kings,1620564
1430,Harry Giles III,PF,Portland Trail Blazers,1620564
1431,Langston Galloway,SG,Phoenix Suns,1620564
1432,E'Twaun Moore,SG,Phoenix Suns,1620564
1433,Tyler Johnson,SG,Brooklyn Nets,1620564
1434,Wilson Chandler, F,Brooklyn Nets,1620564
1435,Udonis Haslem,PF,Miami Heat,1620564
1436,Jared Dudley,SF,Los Angeles Lakers,1620564
1437,DeMarcus Cousins, C,LA Clippers,1620564
1438,JaKarr Sampson,SF,Indiana Pacers,1620564
1439,Ryan Anderson,PF,Houston Rockets,1620564
1440,Kent Bazemore,SF,Golden State Warriors,1620564
1441,Joe Johnson, G,Detroit Pistons,1620564
1442,J.J. Barea, G,Dallas Mavericks,1620564
1443,Thon Maker, F,Cleveland Cavaliers,1620564
1444,Quinn Cook,PG,Cleveland Cavaliers,1620564
1445,Wenyen Gabriel,PF,New Orleans Pelicans,1620564
1446,Isaiah Thomas, G,New Orleans Pelicans,1620564
1447,Vince Carter, G,Atlanta Hawks,1620564
1448,Monte Morris,PG,Denver Nuggets,1588231
1449,Tyrone Wallace,SG,Atlanta Hawks,1588231
1450,Georgios Papagiannis, C,Portland Trail Blazers,1544951
1451,Frank Kaminsky,PF,Phoenix Suns,1620564
1452,Torrey Craig,SF,Phoenix Suns,1620564
1453,Dwight Howard, C,Philadelphia 76ers,1620564
1454,Jeff Green,PF,Brooklyn Nets,1620564
1455,Jeff Teague,PG,Milwaukee Bucks,1620564
1456,Markieff Morris,PF,Los Angeles Lakers,1620564
1457,Reggie Jackson,PG,LA Clippers,1620564
1458,Nicolas Batum,PF,LA Clippers,1620564
1459,Sterling Brown,SF,Houston Rockets,1620564
1460,Gerald Green, G,Houston Rockets,1620564
1461,Wayne Ellington,SG,Detroit Pistons,1620564
1462,Shaquille Harrison, G,Denver Nuggets,1620564
1463,Isaiah Hartenstein, C,Cleveland Cavaliers,1620564
1464,Jarell Martin, F,Cleveland Cavaliers,1620564
1465,Matthew Dellavedova,PG,Cleveland Cavaliers,1620564
1466,Willy Hernangomez, C,New Orleans Pelicans,1620564
1467,Solomon Hill,SF,Atlanta Hawks,1620564
1468,Dwight Buycks, G,Detroit Pistons,1600520
1469,Antonio Blakeney, G,Chicago Bulls,1588231
1470,Malachi Richardson, G,Philadelphia 76ers,1569360
1471,Wade Baldwin IV, G,Indiana Pacers,1544951
1472,Paul Zipser, F,Chicago Bulls,1544951
1473,Cody Martin,SF,Charlotte Hornets,1517981
1474,Dewan Hernandez, F,Toronto Raptors,1517981
1475,Anzejs Pasecniks, C,Washington Wizards,1517981
1476,Juwan Morgan,SF,Utah Jazz,1517981
1477,Matt Thomas,SG,Utah Jazz,1517981
1478,Isaiah Roby, C,Oklahoma City Thunder,1517981
1479,Chris Silva,PF,Sacramento Kings,1517981
1480,Justin James,SG,Sacramento Kings,1517981
1481,Nicolas Claxton,PF,Brooklyn Nets,1517981
1482,Jaylen Nowell,SG,Minnesota Timberwolves,1517981
1483,Talen Horton-Tucker,SG,Los Angeles Lakers,1517981
1484,Terance Mann,SG,LA Clippers,1517981
1485,Chris Clemons, G,Houston Rockets,1517981
1486,Alen Smailagic,PF,Golden State Warriors,1517981
1487,Eric Paschall,PF,Golden State Warriors,1517981
1488,Dean Wade,PF,Cleveland Cavaliers,1517981
1489,Carsen Edwards,PG,Boston Celtics,1517981
1490,Omri Casspi, F,Memphis Grizzlies,1512601
1491,Chinanu Onuaku, C,Portland Trail Blazers,1544951
1492,Isaiah Whitehead, G,Detroit Pistons,1544951
1493,Jalen McDaniels,PF,Charlotte Hornets,1517981
1494,Caleb Martin,SF,Charlotte Hornets,1517981
1495,Daniel Gafford, C,Washington Wizards,1517981
1496,Miye Oni,SG,Utah Jazz,1517981
1497,Nigel Williams-Goss, G,Utah Jazz,1517981
1498,Luguentz Dort,SF,Oklahoma City Thunder,1517981
1499,Admiral Schofield, F,Oklahoma City Thunder,1517981
1500,Terence Davis, G,Sacramento Kings,1517981
1501,Ignas Brazdeikis, F,Orlando Magic,1517981
1502,Naz Reid, C,Minnesota Timberwolves,1517981
1503,KZ Okpala,SF,Miami Heat,1517981
1504,Ky Bowman, G,LA Clippers,1517981
1505,Jalen Lecque,PG,Indiana Pacers,1517981
1506,Juan Toscano-Anderson,SF,Golden State Warriors,1517981
1507,Mychal Mulder,SG,Golden State Warriors,1517981
1508,Vlatko Cancar,SF,Denver Nuggets,1517981
1509,Javonte Green, G,Chicago Bulls,1517981
1510,Bruno Fernando,PF,Atlanta Hawks,1517981
1511,Isaiah Canaan, G,Milwaukee Bucks,1512601
1512,Robert Woodard II,SF,Sacramento Kings,1500000
1513,Zylan Cheatham, F,Oklahoma City Thunder,1445697
1514,Theo Pinson,SG,New York Knicks,1445697
1515,Kelan Martin,SG,Indiana Pacers,1445697
1516,Taj Gibson, C,New York Knicks,1442968
1517,Kenrich Williams,SF,Oklahoma City Thunder,1416852
1518,Jaylen Adams, G,Milwaukee Bucks,1416852
1519,Yante Maten, F,Boston Celtics,1416852
1520,Dakari Johnson, C,Memphis Grizzlies,1378242
1521,Brandon Paul, G,San Antonio Spurs,1378242
1522,Rodney Purvis, G,Miami Heat,1378242
1523,Zhou Qi, C,Houston Rockets,1378242
1524,Ike Anigbogu, C,New Orleans Pelicans,1378242
1525,Jabari Bird, G,Atlanta Hawks,1349464
1526,James Nunnally, F,New Orleans Pelicans,1349383
1527,Tyrell Terry,PG,Dallas Mavericks,1289846
1528,Okaro White, F,Washington Wizards,1187862
1529,Nick Young, G,Denver Nuggets,1042584
1530,Jahmi'us Ramsey,SG,Sacramento Kings,1000000
1531,Lorenzo Brown, G,Guangzhou Guangzhou Long-Lions,1512601
1532,Dwyane Wade, G,Miami Heat,1512601
1533,Paul Watson,SG,Toronto Raptors,1445697
1534,DaQuan Jeffries, G,Houston Rockets,1445697
1535,Oshae Brissett, F,Indiana Pacers,1445697
1536,Jae'Sean Tate,SF,Houston Rockets,1445697
1537,Jemerrio Jones, F,Milwaukee Bucks,1416852
